Number,Name,Comments,Merged,State,Labels,Created,Closed,Commit,Files,Url
23250,#23250_Sensorless_home_sanity_check,6,False,open,"['PR: New Feature', 'F: Calibration', 'F: Trinamic']",2021-12-02 17:22:00+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/23250
23284,#23284_BigTreeTech_SKR_Mini_E3_V3_0,2,False,closed,"['C: Boards/Pins', 'PR: New Feature', 'A: STM32']",2021-12-09 07:50:56+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23284
23333,#23333_M919_-_Get_or_Set_Trinamic_Chopper_Times,38,False,closed,"['PR: New Feature', 'F: Trinamic']",2021-12-22 09:36:42+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23333
23542,#23542_Advanced_Pause_Feature_support_for_CNC_Laser_(extruders=0)_users,1,False,closed,"['PR: New Feature', 'F: CNC / Laser']",2022-01-17 02:22:01+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23542
23688,#23688_G10_L2_L20_CNC_work_offset_support,3,False,closed,"['PR: New Feature', 'F: CNC / Laser']",2022-02-06 20:30:04+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23688
23689,"#23689_CNC_work+machine_coordinates_reporting_option,_other_CNC_features_fixes",7,False,closed,"['PR: Improvement', 'PR: New Feature', 'F: CNC / Laser']",2022-02-06 23:04:45+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23689
23691,#23691_Add_support_for_priority_command_execution_(bypassing_queue),4,False,closed,"['PR: New Feature', ""S: Don't Merge"", 'C: G-code Parser']",2022-02-07 03:16:06+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23691
23765,#23765_Enables_the_use_of_SoC_internal_temperature_sensor_as_TEMP_SENSOR_BOARD_and_provides_a_default_imple,6,False,closed,"['PR: New Feature', 'C: Temperatures']",2022-02-19 17:24:08+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23765
23927,#23927_DOGM_Display_Screen_Sleep,15,False,closed,"['PR: New Feature', 'C: LCD & Controllers']",2022-03-20 00:11:47+00:00,Not Merged,Doesn't Exist,[],https://github.com/MarlinFirmware/Marlin/pull/23927
24247,#24247_3D_Chameleon_filament_changer_[WIP],0,False,open,"['PR: New Feature', 'C: Peripherals', 'F: Toolchange']",2022-05-26 23:05:28+00:00,Not yet closed,Unknown,[],https://github.com/MarlinFirmware/Marlin/pull/24247
