,concept:name,org:resource,time:timestamp,Activity,case:concept:name
2883,Refactor,(86c811660ebf0b3fcbae2f34273d4c9d0c22abc4),2023-06-02,Refactor,#25548
2884,BugFix,(fdad658e5feb93943b1ab0ea9bc2420258e4f2e4),2023-07-27,BugFix,#25548
2885,NewFeature,(f5a905a64121e4ff43894d295ce6990e55aa1149),2023-04-25,NewFeature,#25642
2886,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#25642
2887,Refactor,(2ef71c6ebaa1f1b496eb369879fe22c69cf9adb4),2023-06-12,Refactor,#25642
2888,BugFix,(6474773555274527ac4a24162dfdd9ea4b2b59da),2023-06-29,BugFix,#25642
2889,Refactor,(97e15812fa15cf3ee9f260089282eb5e69915c4e),2023-07-29,Refactor,#25642
2890,Enhancement,(820d2b58b3cfe16affd421f4925ae924cb60826f),2023-08-04,Enhancement,#25642
2891,Comment,(0a86a5f39c560f324e65b539b5be8da1ed91c60a),2023-11-26,Comment,#25642
2892,Refactor,(a41e16ffee0ae828ecb73eeea3caab2f4aed82a8),2023-12-06,Refactor,#25642
2893,Refactor,(401ba6613b1f9079ebd392adc8b0692c1525ab4f),2023-12-21,Refactor,#25642
2894,NewFeature,(4233e4864f0c621612ce35a9b6ca882312e3aa4d),2023-04-22,NewFeature,#25667
2895,Refactor,(467ab74523087a852ab50939d86a0ca0b78f17ad),2023-04-26,Refactor,#25667
2896,Refactor,(68f74784a3a41c643984ee62a507b25903430591),2023-04-26,Refactor,#25667
2897,Refactor,(9a7d9e6995f4f66c4b48147ec7876d49d4b3ae77),2023-04-27,Refactor,#25667
2898,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-05-02,Refactor,#25667
2899,Refactor,(85325f585ac4a9bb667423561540b5d58bdc3b6e),2023-05-05,Refactor,#25667
2900,Refactor,(f14f1be168ebf252dd458c935271aed1a57cfa0b),2023-06-30,Refactor,#25667
2901,Refactor,(244de2458ac6fd48f3031d0179ca1bcad6808583),2023-07-17,Refactor,#25667
2902,Refactor,(bed26734a28175f7ef9669d5190bf7ebc6227223),2023-08-01,Refactor,#25667
2903,Refactor,(86be9a85d0f819fc0f3f6cfe743906ac3309f366),2023-08-23,Refactor,#25667
2904,Refactor,(20fec98f70208546b90ccc0b8f6766de6f2f8230),2023-08-24,Refactor,#25667
2905,Refactor,(b0ece8f8df130709f97da6c1474cd20cbd9119ed),2023-10-20,Refactor,#25667
2906,BugFix,(797ea5efa741ef96827870bb44b48fac7a41f1a0),2023-10-22,BugFix,#25667
2907,BugFix,(156e7c1c5453e9b9fcd103fb1874eb5803ebea54),2023-10-23,BugFix,#25667
2908,Refactor,(dfec58e5dced9fd794cc4a8e7a88a4d34f0cacda),2023-12-08,Refactor,#25667
